year,supplier_name,factor_kg_kwh
2025,"TELEFÓNICA SOLUCIONES DE INFORMÁTICA Y COMUNICACIONES DE ESPAÑA, S.A.U",0.000
2025,"TENSINA DE ENERGÍA Y SERVICIOS, S.L.",0.258
2025,"TH ELECTRICITY GAS, S.L.",0.172
2025,"THE YELLOW ENERGY, S.L",0.258
2025,TOTALENERGIES CLIENTES S.A.U.,0.256
2025,"TOTALENERGIES ELECTRICIDAD Y GAS ESPAÑA, S.A.U.",0.254
2025,"TRACTAMENT I SELECCIÓ DE RESIDUS, S.A.",0.000
2025,"TU ELECTRICA, S.L.",0.248
2025,"TUNERGIA EFICIENCIA ENERGETICA Y RENOVABLE, S.L.",0.258
2025,"UNIELECTRICA ENERGIA, S.A",0.258
2025,VIMCOMEL SL,0.000
2025,VISALIA ENERGIA S.L.,0.258
2025,VIVO ENERGIA FUTURA S.A,0.258
2025,"WEKIWI, S.L.",0.258
2025,WIND TO MARKET S.A,0.246
2025,"ZETA ENERXÍA GALEGA, S.L.",0.000
